Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Date/time
2.995000,0.510934,0.000498,0.000258,-95.660000,35000,04-09-2024 16:50:44
3.033000,0.510934,0.000485,0.000262,-95.660000,35000,04-09-2024 16:50:45
3.135000,0.510934,0.000474,0.000260,-95.660000,35000,04-09-2024 16:50:46
3.013000,0.510934,0.000467,0.000254,-95.660000,35000,04-09-2024 16:50:46
3.158000,0.510934,0.000465,0.000250,-95.660000,35000,04-09-2024 16:50:47
3.031000,0.510934,0.000468,0.000251,-95.660000,35000,04-09-2024 16:50:47
3.045000,0.510934,0.000469,0.000259,-95.660000,35000,04-09-2024 16:50:48
3.149000,0.510934,0.000468,0.000269,-95.660000,35000,04-09-2024 16:50:49
3.013000,0.510934,0.000467,0.000276,-95.660000,35000,04-09-2024 16:50:49
3.142000,0.510934,0.000464,0.000282,-95.660000,35000,04-09-2024 16:50:50
3.043000,0.510934,0.000461,0.000285,-95.660000,35000,04-09-2024 16:50:50
3.056000,0.510934,0.000457,0.000285,-95.660000,35000,04-09-2024 16:50:51
3.162000,0.510934,0.000452,0.000284,-95.660000,35000,04-09-2024 16:50:52
3.024000,0.510934,0.000444,0.000280,-95.660000,35000,04-09-2024 16:50:52
3.104000,0.510934,0.000441,0.000275,-95.660000,35000,04-09-2024 16:50:53
3.108000,0.510934,0.000442,0.000272,-95.660000,35000,04-09-2024 16:50:53
3.066000,0.510934,0.000443,0.000270,-95.660000,35000,04-09-2024 16:50:54
3.192000,0.510934,0.000443,0.000268,-95.660000,35000,04-09-2024 16:50:55
3.036000,0.510934,0.000443,0.000263,-95.660000,35000,04-09-2024 16:50:55
3.115000,0.510934,0.000440,0.000256,-95.660000,35000,04-09-2024 16:50:56
3.121000,0.510934,0.000434,0.000249,-95.660000,35000,04-09-2024 16:50:56
3.043000,0.510934,0.000426,0.000245,-95.660000,35000,04-09-2024 16:50:57
3.178000,0.510934,0.000420,0.000247,-95.660000,35000,04-09-2024 16:50:58
3.047000,0.510934,0.000417,0.000250,-95.660000,35000,04-09-2024 16:50:58
3.128000,0.510934,0.000418,0.000257,-95.660000,35000,04-09-2024 16:50:59
3.199000,0.510934,0.000426,0.000271,-95.660000,35000,04-09-2024 16:51:00
3.054000,0.510934,0.000435,0.000284,-95.660000,35000,04-09-2024 16:51:00
3.192000,0.510934,0.000447,0.000292,-95.660000,35000,04-09-2024 16:51:01
3.085000,0.510934,0.000458,0.000287,-95.660000,35000,04-09-2024 16:51:01
3.072000,0.510934,0.000462,0.000277,-95.660000,35000,04-09-2024 16:51:02
